------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                0.05,       6.69247804e-05
                 0.1,       0.000300633238
                0.15,        0.00122366493
                 0.2,        0.00512977379
                0.25,         0.0222819833
                 0.3,         0.0983968273
                0.35,          0.426074571
                 0.4,           1.68589715
                0.45,           5.61552646
                 0.5,           15.1781734
                0.55,           33.5599891
                 0.6,           62.8186254
                0.65,           103.626645
                 0.7,           155.653152
                0.75,           217.868666
                 0.8,           288.728222
                0.85,           366.337142
                 0.9,           448.644435
                0.95,           533.651819
                   1,           619.593216
                1.05,           705.037136
                 1.1,           788.894996
                1.15,           870.360883
                 1.2,           948.830258

